SECTION,PRE-VISIT CONTACT STRATEGY — uMODA Quote Transparency Platform,,,,,,,,,,,,,,,,,,,,
2,Engineuity Autowerks,Bissonnet East Corridor,No,HIGH (elevated from Low),A,"STRONG — Review confirms: 'they do a complete diagnostic on the vehicle and text it to you. Once I approved the job to be done, I was in and out.' — Text-based DVI with digital approval workflow","10030 Bissonnet St Ste 205, Houston TX 77036",(832) 742-9715,Contact form on website,engineuityautowerks.com ✅,"Instagram: @engineuityautowerks; Facebook active","Will Diaz (owner — former BMW Master Technician)",BMW / Audi / Euro specialist,2011 (15 yrs),TBD,"5-star rating. Offers written estimates; loaner vehicles; shuttle; towing. Will Diaz is a former BMW Master Technician. High-ARO shop with strong professional infrastructure. Already texting DVIs to customers — closest behavioral match to TekMetric user in SW corridor.","D8 (auth capture beyond DVI); D1 (estimate-to-bill trail)","Email via website contact form → Phone","Already operating a DVI workflow — sends digital inspections with text-based approval. The gap is the quote-to-authorization layer after the DVI closes. uMODA timestamps what happens between the DVI and the final bill.","'We noticed from reviews that you text customers their diagnostics for approval — we're building the layer that documents what happens between that approval and the final bill. Would love 15 minutes.'","Platform integration conversation; authorization-layer extension demo; co-marketing potential with BMW/Audi community"
3,Ed's Car Care,Richmond St Corridor,No,HIGH,A,None confirmed,"9535 Richmond Ave, Houston TX 77063",(713) 266-3777,edscarcare@att.net ✅,edscarcareinc.com ✅,"Yelp: 56 reviews (exceptional volume for an ISP); Nextdoor active","Charlie, Peter, Carlos (long-tenure mechanic)",ASE Certified; full-service; Euro-capable (luxury),2010 (16 yrs),3,"56 Yelp reviews is extraordinary for an ISP. ASE Certified. Euro-capable including luxury. SPLIT customer base: loyal long-term reviews AND a documented price dispute review citing $900 charge for a job quoted $150–$180 elsewhere. The inconsistency is the problem — transparency infrastructure resolves it.","D1 (price escalation — documented); D7 (labor hour dispute); D12 (ticket building allegation)","Email to edscarcare@att.net → Phone","High review volume signals that this shop understands reputation as a business asset. The split review pattern — loyal customers alongside a price dispute — is exactly the pain uMODA resolves. The honest side of the operation needs documentation to dominate the narrative.","'You have 56 Yelp reviews — that's unusual for an independent shop. We'd love 15 minutes to talk about how you manage the cases where a customer disputes a price even when you've done everything right.'","High-review-volume shop = strong testimonial opportunity; dispute resolution workflow demo; authorization documentation audit"
4,Richmond Auto Repair,Richmond St Corridor,No,HIGH (elevated from Medium),A,None confirmed — Bosch L-2 master-trained; ASE certified; 'latest diagnostic equipment' cited on website,"8717 Richmond Ave, Houston TX 77063",TBD — verify via site,Contact form on richmond-autorepair.com,richmond-autorepair.com ✅,TBD,William Contreras (owner — confirmed on website),"Euro specialist: Mercedes, Mini, Jaguar, Land Rover, Range Rover, Porsche",1992 (34 yrs),TBD,"34-year tenure. Professional website. Bosch L-2 and ASE certified. Note: scouting flagged 'questionable customer service' — approach with awareness. High-value vehicle clients mean auth gaps are especially costly per incident.","D9 (teardown — high-value vehicles amplify cost); D10 (comm breakdown); D8 (auth documentation)","Email via website contact form → Phone","34-year shop serving high-value European vehicles. Every unauthorized repair or undocumented scope change on a Jaguar or Range Rover carries outsized financial and reputational consequence. uMODA creates the paper trail that protects both shop and customer at that price point.","'We came across your shop while researching Houston's Euro specialists — 34 years is remarkable. We're building documentation infrastructure specifically for high-value vehicle repairs. Would you have 15 minutes?'","Euro specialist segment outreach; teardown documentation workflow; high-ARO authorization use case"
5,Southwest Automotive Inc,Richmond St Corridor,No,MEDIUM / HIGH,A,None confirmed — 'Request Service' button on website since 1983,"8719 Richmond Ave, Houston TX 77063",(713) 780-7445,Contact form on volvorepairspecialists.com,volvorepairspecialists.com ✅,Facebook active,Johnny,Volvo specialist — dealership alternative,1983 (43 yrs),TBD,"43-year tenure — one of the longest in the corpus. Volvo specialist. Online service request form. Great reviews. Dealership-alternative positioning. Long-tenure shops have deeply embedded verbal processes — the pain of D10 and D13 is proportionally higher when habits are older and undocumented.","D10 (comm breakdown — verbal habits at 43yr shop); D13 (verbal estimate substitution); D8 (auth documentation)","Email via website → Phone — ask for Johnny","43 years of customer trust. The risk: one undocumented verbal estimate dispute erases years of goodwill. uMODA doesn't change how they operate — it documents what they're already doing so disputes are defensible.","'You've built 43 years of trust. We want to make sure the next 43 years of customers can see that before they ever walk in. We're building the documentation layer for shops like yours — 15 minutes?'","Longest-tenure case study in corpus; verbal-to-written estimate workflow; trust-as-differentiation positioning"
6,Bryan Auto Repair + LMNETO LLC,Veterans Memorial Corridor,No,HIGH,A,None confirmed,"11588 Veterans Memorial Dr, Houston TX 77067",(281) 583-1525,services@bryanautorepair.com ✅,bryanautorepair.com ✅,"Facebook: @bryanautorepairshop; Yelp active",Tosin (owner — per owner responses),General repair; multi-service,2025 (1 yr),TBD,"Owner response in field data CSV is the most sophisticated in entire corpus — multi-paragraph; legally oriented; documents: offer of lift for undercarriage inspection; scanner access; written communication chain; full timeline of every customer contact attempt. Tosin already THINKS in documentation. uMODA formalizes what he does instinctively.","D1 (quote escalation — documented response); D6 (parts dispute — addressed in response); D8 (auth documentation)","Email to services@bryanautorepair.com first","This owner's written response to a customer dispute demonstrates extraordinary documentation awareness — he cited vehicle inspection access; scanner diagnostics offered; detailed communication records. He is manually doing what uMODA automates. This is a builder-level conversation.","'We read your owner response on [platform] — the level of detail in how you document customer interactions is exactly what we're building around. We'd like 20 minutes.'","Ideal early adopter candidate; detailed response habit = strong product-fit; potential product feedback partner"
7,Tire N Auto / Mr Balljoint,Kuykendahl Corridor,No,HIGH,A,"Moderate — emails receipts to customers; online quote form; $65 diagnostic fee policy (waived on repair); staff listed by name on website","19330 Kuykendahl Rd, Houston TX (also 14920 Kuykendahl Rd)",(346) 270-2148,Online quote form on mrballjointautorepairshop.com,mrballjointautorepairshop.com ✅,Yelp active,"Rodney (body/restoration); Mike Richards (engine/suspension/45yr exp); Rob (alignment/A-C)","Ball joint specialist; general repair; body; restoration",2000 (26 yrs),TBD,"Staff listed by NAME and SPECIALTY on website — a transparency signal in itself. Emails all receipts and invoices to customers. Online quote request form. $65 diagnostic fee waived on repair creates a Driver 5 consent ambiguity worth discussing. Yelp review cites respectful treatment of a single woman — trust-forward positioning.","D5 (diagnostic-to-repair confusion — their waived fee creates a specific consent boundary question); D8 (multi-tech written auth); D10 (comm breakdown)","Phone → Visit","Already operating a digital paper trail (email receipts; online quotes; named staff). The $65 waived diagnostic creates an interesting consent ambiguity — what happens at the authorization transition? That's the exact gap uMODA closes.","'Your waived diagnostic fee structure is interesting — how do you handle the authorization moment when someone decides to proceed? We're building something that touches exactly that transition.'","Authorization-transition workflow; staff-transparency model; testimonial candidate for trust-based positioning"
,,,,,,,,,,,,,,,,,,,,,,
TIER B — HIGH PRIORITY,,,,,,,,,,,,,,,,,,,,,
8,Renn Motors LLC,Bissonnet East Corridor,No,HIGH,B,"Moderate — explicitly uses 'latest online software' for coding/programming; licensed for Mercedes TRP (requires factory system access — high-credential technical operation)","10030 Bissonnet St Ste 203, Houston TX 77036",(713) 384-9274,TBD — no website found,No website — directory listings only,"Facebook: @rennautomotive; Instagram: @rennmotorsllc",Marvin Diaz (owner — confirmed),Mercedes-Benz / BMW specialist — coding and programming,2001 (25 yrs),TBD,"25-year Mercedes/BMW specialist. Licensed for Theft Related Parts (requires Mercedes-Benz factory connection) — extremely high-credential operation. No website but socially active. Field data review shows owner doing a reverse Google lookup on a reviewer — active digital research habits. Strong candidate for transparency platform.","D10 (comm breakdown — no website creates contact friction); D8 (auth documentation for high-value repair coding); D13 (verbal estimate on high-ARO jobs)","Instagram DM → Phone → Visit — ask for Marvin","No website but a 25-year factory-authorized specialist who proactively researches customers online. This is a technically sophisticated owner without a documentation infrastructure. The gap between their technical credibility and their documentation trail is the uMODA pitch.","'Hi Marvin — we've been doing field research on Houston's best independent European specialists. Renn Motors came up consistently. We're building something that extends the trust you've built over 25 years into a customer-facing documentation layer. 15 minutes?'","European specialist segment; high-ARO authorization case study; TRP documentation workflow — a specific use case no other platform touches"
9,Chad Car Care + Fastlane Auto Repair,Richmond St Corridor,No,HIGH,B,"Moderate — review describes options-based transparent pricing: 'He walked me through all the options and wasn't pushy at all... I ended up choosing all OEM parts'","8620 Richmond Ave, Houston TX 77063",(281) 888-6836,TBD,No standalone website — U-Haul affiliate listing active,Yelp active,"Iyad (scouting notes); Ed (per Fastlane review)",General repair; multi-service; U-Haul affiliate,2025 (1 yr),TBD,"Two shops at 1 location. U-Haul affiliate (multi-service complexity). Iyad and Ed are named. Review language suggests structured options presentation — possibly using a platform already. New shop with active reputation management instinct.","D10 (comm breakdown); D11 (fee disclosure); D13 (verbal estimate — new shop higher risk)","Phone → Visit — ask for Iyad","New shop already demonstrating options-based customer communication — that's a behavioral signal that they care about the trust layer. U-Haul affiliation shows willingness to adopt third-party operational relationships.","'Hi — is Iyad available? We're visiting shops in the Richmond Ave area we've identified as doing things right. 15 minutes — no pitch. We're learning how shops like yours handle quote conversations with customers.'","New shop product fit; options-based workflow documentation; U-Haul multi-service authorization model"
10,Solo's Auto Body + William's Auto Repair Zone,S Post Oak Corridor,No,HIGH,B,"Moderate — owner states in Yelp response: 'our inspection reports detail the issues with your vehicle and include photographs as well as a video for clarity'","14444 S Post Oak Rd, Houston TX 77045",TBD,TBD,TBD,Yelp active — owner responses confirmed,"William Q (owner — confirmed via Yelp responses, including 2024 and earlier dates)",Auto body + general repair,2013 (13 yrs),TBD,"Owner already takes photos and creates inspection reports WITH VIDEO. He is manually doing DVI. The practice is in place; the infrastructure is missing. William Q's Yelp responses are detailed and professional — this is an owner who values documentation as a dispute defense mechanism.","D1 (price escalation — documented dispute); D12 (ticket building allegation); D7 (labor hour dispute)","Phone → Visit — ask for William","This owner is ALREADY doing the work — photo documentation; video of findings; written dispute responses. uMODA doesn't change his behavior; it gives it structure; timestamps; and a customer-facing record. The sell writes itself.","'We read your Yelp response where you mentioned inspection reports with photos and video — we'd like to talk about what that process looks like for you and how we might help structure it.'","Strongest manual-DVI-to-platform conversion candidate; photo/video workflow integration; testimonial potential"
11,U&A Automotive Repair (formerly Tony Lim's),Veterans Memorial Corridor,No,HIGH,B,None confirmed,"11220 Veterans Memorial Dr, Houston TX 77067",(281) 445-0222,TBD,TBD,"Yelp active; Birdeye: 220 reviews (extraordinary for an ISP)",Ulysses (per multiple reviews),General repair; multi-service,2021 (5 yrs permit — real tenure longer as formerly Tony Lim's),TBD,"220 reviews on Birdeye is extraordinary. Ulysses is named across multiple reviews. CSV documents a pricing dispute where the shop's response defaults to 'just an estimate' — exactly the Driver 1 and Driver 13 vulnerability. But positive reviews cite Ulysses's transparency and competitive pricing. The gap between the two is what uMODA closes.","D1 (quote escalation — 'just an estimate' response documented); D8 (auth documentation); D10 (comm breakdown)","Phone → Visit — ask for Ulysses","220 reviews means this shop UNDERSTANDS that reputation drives business. The 'just an estimate' response to a dispute is a real vulnerability. uMODA gives Ulysses a timestamped trail that makes the legitimate estimate defensible — so he never has to say 'just an estimate' again.","'You have an unusually high review volume for an independent shop — that tells me reputation matters to how you run this business. We'd like to talk about how you handle the cases where a customer disputes a quote even when you've done everything right.'","High-review-volume testimonial candidate; quote defense workflow; rename/rebrand story — new name deserves new documentation infrastructure"
12,Allstate Collision / Vemex USA / Space City Collision,Veterans Memorial Corridor,No,HIGH ⚠️,B,None confirmed,"12651 Veterans Memorial Dr, Houston TX 77067",TBD,TBD,spacecitycollisioncenter.com ✅ (Space City component),"Facebook: Vemex active (primarily Spanish); WhatsApp link on FB","Mr. Jesse (estimates); Alex and Pedro (technicians)","Collision; general repair; multi-shop cluster; Spanish-language primary market",2019 (7 yrs),TBD,"⚠️ HIGH DISPUTE VOLUME. CSV documents: $5K engine repair → $1.7K additional charge; credit card machine 'broken' at pickup forcing cash; warranty disputes. Owner responses are detailed and maintain a warranty position. Multiple shops under one ownership. APPROACH WITH OBSERVATION FIRST — confirm integrity before full engagement. Space City Collision Center component has a clean website and clearer positioning.","D1 (escalation — documented); D3 (unauthorized repair — alleged); D9 (teardown); D10 (comm breakdown)","Walk-in — observe before engaging","⚠️ Approach with caution. The dispute pattern here is consistent with structural issues, not isolated incidents. Visit to observe actual operations. If Space City Collision (the cleanest component) shows genuine commitment to transparency, engage that sub-entity independently.","Walk in. Observe the intake process. Do not open with a pitch. Ask about how they handle scope changes with customers after a car is already in the shop.","Observe-first engagement; Space City Collision sub-entity may be a cleaner target; Spanish-language market is an underserved uMODA segment"
,,,,,,,,,,,,,,,,,,,,,,
TIER C — HIGH PRIORITY,,,,,,,,,,,,,,,,,,,,,
13,VIP Auto Dealers & VIP Auto Collision,Bellaire Blvd Corridor (77072),No,HIGH,C,None confirmed,"10906 Bellaire Blvd, Houston TX 77072",TBD,TBD,TBD,"Google Business active — owner responds to reviews",TBD,Auto dealers + collision repair,2023 (3 yrs),TBD,"Short tenure (3 yrs) + mixed reviews + active owner response = acute reputation concern. Owner responds formally to negative Google reviews with customer-recovery language — showing digital awareness and willingness to engage publicly. New shop is more open to adopting tools that help manage reputation.","D1 (quote escalation); D10 (comm breakdown); D13 (verbal estimate)","Phone → Visit","New shop with an active owner who already understands that public responses to reviews matter. That's a platform-receptive mindset. The pain of one bad review cycle is proportionally higher for a 3-year shop than a 25-year shop.","'We came across your shop while researching the Bellaire corridor — we noticed you respond to reviews directly and quickly. That tells us reputation is important to how you run this business. We'd love 15 minutes.'","New shop acquisition workflow; reputation management integration; review-response to documentation pipeline"
,,,,,,,,,,,,,,,,,,,,,,
TIER A — MEDIUM PRIORITY,,,,,,,,,,,,,,,,,,,,,
14,CG Autoworks LLC (C&G Mercedes),Richmond St Corridor,No,MEDIUM,A,None confirmed — Mercedes specialist with high-ARO profile; same-day scheduling and phone quote workflow,"3808 Jeanetta St, Houston TX 77063",(713) 785-8668,Manager@CGMercedes.com ✅,cgmercedes.com ✅,Facebook: TopGear Houston,Manager (email confirmed — owner TBD),Mercedes-Benz specialist,2023 (3 yrs),TBD,"Professional online presence. Operates also as 'TopGear Autoworks.' Reviews mention same-day scheduling and phone quotes. High-value vehicles = authorization documentation failures carry premium consequences. Direct manager email is confirmed — warm email outreach is possible now.","D9 (teardown — Mercedes repair amplifies stakes); D8 (auth documentation for high-value jobs); D1 (escalation)","Email to Manager@CGMercedes.com → Phone","High-value vehicles make every undocumented authorization gap a major liability. A $5K Mercedes repair with a scope revision and no written auth trail is a lawsuit waiting to happen. uMODA creates the documentation that protects this shop at their specific price point.","Email: 'We're reaching out to a small number of Mercedes specialists in Houston about a quote transparency tool built for high-value vehicle repair. Your shop came up in our research. Could we schedule 15 minutes?'","Mercedes-specific authorization case study; high-ARO documentation workflow; warm email already possible"
15,Bemer Motor Cars,Richmond St Corridor,No,MEDIUM,A,None confirmed — AAA Approved; two active websites; 82 Yelp reviews,"9201 Richmond Ave, Houston TX 77063",(713) 266-2690,Contact form on bemer.com,bemer.com + bemermotorcars.net ✅,"Facebook: @BemerMotorCars; Yelp: 82 reviews","Julian Martinez (owner); Julian Jr. (next generation)",European specialist; auto sales adjacent; generationally owned,2010 (16 yrs),TBD,"AAA Approved Repair Facility — significant credentialing. Two active websites signals brand investment. 82 Yelp reviews is exceptional. Julian Jr. is the next-generation owner — likely more tech-receptive. Generationally owned European specialist with strong online presence.","D10 (comm breakdown); D8 (auth documentation); D1 (escalation)","Email via bemer.com → Phone — ask for Julian Jr.","AAA Approved status means this shop has already committed to standards and documentation. They've done the hard part of credentialing — uMODA extends that credibility into a customer-facing quote transparency signal. Julian Jr. is the generational transfer candidate.","'You're AAA-approved — you've already demonstrated that documentation and standards matter to your operation. We're building the next layer of that. Would Julian Jr. have 15 minutes?'","Generational transfer story; AAA-adjacent credentialing conversation; 82-review shop = strong testimonial platform"
16,Greenfield's Collision,Kuykendahl Corridor,No,MEDIUM,A,None confirmed — online booking live (Wix); 'Fast Lane Quick Quote' button active on website,"15920 Kuykendahl Rd, Houston TX 77068",(281) 580-1994,TBD — booking via website,greenfields-collision.com ✅ (online booking active),"Facebook: @GreenfieldsCollision; Yelp active","Anthony, Brian, Alice (per reviews)",Collision; full mechanical service center; Right to Repair advocate,2014 (12 yrs permit — operating since 1985),7,"Right to Repair advocate — politically aware shop owner who understands structural market dynamics. Online booking with 'Fast Lane Quick Quote' button live. 7 bays. Real tenure ~40 years per Carwise listing. Family owned. A shop owner who advocates for Right to Repair will understand the documentation transparency argument instantly.","D8 (auth documentation — collision teardown is standard); D9 (teardown — collision is inherently teardown-driven)","Email via website booking form → Phone","Right to Repair advocates understand that independent shops need structural tools to level the playing field with dealerships. uMODA is that tool on the quote transparency side. This shop already has online booking — they've made the first digital infrastructure investment.","'We saw your online booking and your Right to Repair advocacy — we're building the documentation layer that gives independent shops the same paper trail advantage that dealerships have always had. We'd like 15 minutes.'","Right to Repair community connection; teardown documentation use case; online booking → quote transparency pipeline story"
,,,,,,,,,,,,,,,,,,,,,,
TIER B — MEDIUM PRIORITY,,,,,,,,,,,,,,,,,,,,,
17,Autoworks Complete Auto Care,Bissonnet West Corridor,No,MEDIUM,B,"None confirmed — NAPA AutoCare affiliation suggests standardized operations and software framework","11330 S Wilcrest Dr, Houston TX 77099",(281) 605-0657,TBD,NAPA AutoCare affiliate listing (napaonline.com),Facebook active,"Carlos or Sam",General repair; NAPA AutoCare affiliate,2009 (17 yrs),3,"NAPA AutoCare affiliation is a meaningful signal — these shops operate within a standardized framework and often respond well to software that extends that structure. Owner responds to Yelp reviews. 3 bays. Carlos or Sam are named contacts.","D10 (comm breakdown); D11 (fee disclosure — NAPA shops often have supply fee gaps); D8 (auth documentation)","Phone → Visit — ask for Carlos or Sam","NAPA affiliation means this shop already operates within a standardized compliance framework. They've demonstrated openness to structured operational relationships. uMODA is the next layer — documentation they can point to.","'Hi — is Carlos or Sam available? We're doing field visits with shops in the Bissonnet area that we've identified as doing things the right way. We noticed your NAPA affiliation — 15 minutes?'","NAPA-adjacent documentation workflow; standardized framework extension; named-owner warm intro"
18,X-L Auto Repair Inc,Bissonnet West Corridor,No,MEDIUM,B,None confirmed — website active since 1999,"9611 S Wilcrest Dr, Houston TX 77099",(281) 568-1958,TBD,xlautorepair.com ✅,Yelp active,"Mr. Khan (owner)",General repair; full service,2007 (19 yrs — shop online since 1999),5,"5 bays. Website active. Mr. Khan specifically mentioned in scouting notes. Decent reviews. Long operational presence online (since 1999) suggests early digital adopter.","D10 (comm breakdown); D13 (verbal estimate substitution); D8 (auth documentation)","Phone → Visit — ask for Mr. Khan","Shop with an active website since 1999 — one of the earliest digital adopters in the corpus. Mr. Khan understands the value of online presence. A platform that extends that digital investment into the quote documentation layer is a natural conversation.","'Hi — is Mr. Khan available? We're doing research on independent shops in the area that have been building their reputation consistently. 5 bays and a website since 1999 — 15 minutes?'","Long-tenure digital presence; multi-bay authorization workflow; Khan named intro"
19,Mars Auto Garage & Sales,Bissonnet East Corridor,No,MEDIUM,B,None confirmed,"9735 Bissonnet St, Houston TX 77036",(832) 433-8794,TBD,marsautogarage.com ✅,Facebook active (recently launched),"Moe or Mr. Rufino",General repair + auto sales,2008 (18 yrs),7,"7-bay operation. Active website and new Facebook presence suggests a modernization phase. Good Yelp reviews. Moe or Mr. Rufino are named contacts. Large operation with an owner investing in digital infrastructure.","D10 (comm breakdown — 7-bay scale amplifies); D8 (auth documentation for scale); D7 (labor hour disputes at volume)","Phone → Visit — ask for Moe","7-bay operation entering a digital modernization phase (new Facebook + active website). At 7 bays, the number of concurrent jobs makes communication gaps structurally inevitable without a platform. uMODA addresses the scale problem directly.","'Hi — is Moe available? We're researching larger independent shops in the Bissonnet corridor. 7 bays is significant — we'd love to talk about how you manage quote communication across multiple jobs at once.'","7-bay scale = strong operational software use case; modernization-phase onboarding; named owner warm intro"
20,Elborre General Mechanic / Olah Automotive,Bellaire Blvd / Baneway Corridor,No,MEDIUM,B,None confirmed — Twitter presence (@OlahAutomotive) is unusual differentiator for ISP,"7103 Baneway Dr (3 shops — 1 pin), Houston TX 77072",TBD,TBD,TBD,Twitter: @OlahAutomotive,"Steve (owner)",General repair; recently renamed,2024 (2 yrs),TBD,"Recently renamed from Elborre General Mechanic to Olah Automotive. Steve is owner. Twitter presence is a meaningful differentiator — this owner thinks publicly about their business. Cluster of 3 shops at 1 pin.","D10 (comm breakdown); D13 (verbal estimate — new brand identity risk)","Twitter DM → Walk-in — ask for Steve","An ISP owner on Twitter is thinking about their business in public. That's a platform-receptive mindset. The rebrand creates a specific vulnerability — the new name has no documentation history. uMODA helps build that record from day one of the new identity.","Twitter DM: 'Hey @OlahAutomotive — saw the rebrand. Congratulations. We're building something that helps shops build a documented reputation from the start. Would love to connect.'","Rebrand story; Twitter-active owner = peer-level digital conversation; cluster documentation opportunity"
21,Sports Car Repairs Inc,Schumacher Ln Corridor,No,MEDIUM,B,None confirmed,"5711 Star Ln, Houston TX 77057",(713) 789-0007,TBD,sportscarrepairinc.com ✅,"Yelp; Nextdoor",Cliff Adams (confirmed),Euro maintenance specialist; 4-bay,2019 (7 yrs),4,"Cliff Adams is a confirmed named contact. Website active. Euro maintenance focus. 4 bays. Specialists tend to have cleaner scope definition but are still exposed to D10 and D8 challenges.","D10 (comm breakdown); D8 (auth documentation for Euro repair scope)","Phone or email via site — ask for Cliff","Euro specialist with a named owner and active website. Cliff is the entry point. Specialists benefit from documentation because their repair scope is narrower — every authorization gap is more visible to clients paying premium prices.","'Hi Cliff — we're doing research with Euro specialists in the Houston market. We're building documentation infrastructure specifically for specialty repair shops. 15 minutes?'","Euro specialist segment; named-owner direct contact; website confirms tech receptivity"
22,Salah's Auto LLC,Richmond St Corridor,No,MEDIUM,B,None confirmed — email confirmed; Facebook active; 49 Yelp reviews,"3707 Crossview Dr, Houston TX 77063",(713) 977-5313,salahsauto@gmail.com ✅,No standalone website,Facebook: @salahsauto; Yelp: 49 reviews,"Salah (family — per business name)",General repair; family owned,2008 (18 yrs permit — Est. ~1985 per directories; ~41 yrs operational),6,"49 Yelp reviews — very high for an ISP. Family owned since ~1985. Reviews emphasize 'family morals' and 'utmost respect.' 6 bays. Gmail contact is accessible. The shop's identity is trust-anchored — uMODA reinforces that identity externally for new customers.","D10 (comm breakdown); D13 (verbal estimate — 40+ yr shop with verbal habits)","Email to salahsauto@gmail.com → Phone","A family shop with 40+ years of community trust and 49 Yelp reviews. The trust is real — but it's not documented beyond reviews. uMODA creates a paper trail that extends that trust to first-time customers who don't yet know the family.","Email: 'We came across Salah's Auto while researching Houston ISPs who operate with integrity — 49 Yelp reviews over decades of service is not accidental. We're building something for shops like yours. 15 minutes?'","Longest-operational-tenure email outreach candidate; family-trust documentation story; 49-review base = strong testimonial platform"
23,Veterans Auto Center,Veterans Memorial Corridor,No,MEDIUM,B,None confirmed — website active with coupons/specials page,"11239 Veterans Memorial Dr, Houston TX 77067",TBD — via website,TBD,veteransautocenterhtx.com ✅,TBD,Pau (per reviews),General repair; veteran-associated,2010 (16 yrs permit — site states est. 2002),7,"7 bays. Website with coupons/specials page indicates marketing engagement. Pau is the named contact per reviews. Mixed reviews in scouting. Coupons page = marketing investment already made.","D10 (comm breakdown — 7-bay scale); D8 (auth documentation)","Phone or website inquiry → Visit — ask for Pau","7 bays and a marketing-invested website (coupons page). The coupons page shows an owner who thinks about customer acquisition — uMODA is the retention and trust layer that makes coupon-acquired customers come back.","'Hi — is Pau available? We're meeting with some of the larger independent shops on Veterans Memorial. You have 7 bays and a marketing presence — we'd love 15 minutes to talk about the trust side of that equation.'","7-bay scale use case; marketing investment → documentation conversation; veteran community positioning potential"
24,Mann Automotive,Kuykendahl Corridor,No,MEDIUM,B,None confirmed — family owned since 1995; website + Facebook active,"15919 Kuykendahl Rd, Houston TX 77068",(281) 919-1920,TBD — via website,mannautomotive.net ✅,Facebook: @mannautomotive,Jay (per reviews),Collision + general repair; family owned,2012 (14 yrs permit — family owned since 1995),TBD,"Family owned since 1995. Jay is the named contact from reviews. CSV review specifically praises Jay for 'going above and beyond' — restored foggy headlights at no charge. Website and Facebook active. Community reputation anchored in goodwill and integrity.","D10 (comm breakdown); D11 (fee disclosure)","Email via website → Phone — ask for Jay","A shop whose reputation is built on going above and beyond at no charge. That's a trust signal, not a documentation signal — but uMODA turns that instinct into a record every new customer can verify before they ever meet Jay.","'We read a review where a customer mentioned Jay cleaned their foggy headlights at no charge. That's exactly the kind of practice we want to document and surface to new customers. 15 minutes?'","Above-and-beyond documentation; community trust story; family-owned brand differentiation"
,,,,,,,,,,,,,,,,,,,,,,
TIER C — MEDIUM PRIORITY,,,,,,,,,,,,,,,,,,,,,
